Index,Sentence,Options,Label
0,All that glitters is not gold.,"A. The wife told the husband that since she is in charge of the kitchen, the family will eat what she makes or go hungry.
B. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
C. The parents have been living happily ever since they decided not to go through the divorce.
D. The manager saw that Silvy was passing on her clients for hair appointments to other professionals but was showing up for tips; she decided to fire her the next time.",B
1,All that glitters is not gold.,"A. The baby looks as snug as a bug in a rug next to her mother.
B. The boy who cried wolf got his comeuppance once the wolves really came.
C. You can't write from an inkless pen.
D. The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.",D
2,All that glitters is not gold.,"A. The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.
B. Don’t rush through your assignment, remember haste makes waste.
C. But if you look at the bright side you got to learn so much from the experience.
D. It takes a lot of effort to write a novel, so do not think writers do nothing worthy.",A
3,All that glitters is not gold.,"A. The drawing shows me at one glance, what a book can only show me in many pages.
B. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
C. Gary started investing his money and time in creating a small garden for himself during the off season. Gary regrets not planning and starting during the spring and summer season when results are more visible.
D. People in the village say that the house is haunted by the ghost of the lady that lived here many years back. So, my father decides to wait to buy it so he can take more opinions from different people.",B
4,All that glitters is not gold.,"A. I would rather use my old pan for cooking than buy the new utensil with fancy features.
B. Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.
C. I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.
D. I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.",B
5,All that glitters is not gold.,"A. Although he isn't my favorite singer, my brother absolutely adores his vocals and techniques.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. The drawing shows me at one glance, what a book can only show me in many pages.
D. The soccer club is divided into groups of people from the same region who practice often with each other.",B
6,All that glitters is not gold.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Sandy is the only one who doesn't show up to the dance class and one of us is always without a partner because of it.
C. The job was finally his after the last interview that went well.
D. The boy who cried wolf got his comeuppance once the wolves really came.",A
7,All that glitters is not gold.,"A. The A team is the best one as it has the best players except Ron, who often negates the others' efforts.
B. When the season changes, we won't have access to such delicious mangoes. So, devour them.
C. Although Lexi looks like an airhead, she is one of the wisest people I have ever met.
D. We have been waiting for you for 3 hours, but that's okay. It’s better late than never.",C
8,All that glitters is not gold.,"A. Having cried the entire night she greeted everyone in the morning like sunshine.
B. Enjoy the honeymoon period of your marriage as much as you can before it passes.
C. Samantha should not spend all her savings on the flight tickets during the holidays. She should wait and check after a few months when the prices are low.
D. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.",D
9,All that glitters is not gold.,"A. The lawyers who attended the business seminar talked amongst themselves.
B. Jake might look confused all the time, but he's really extremely bright.
C. We have been waiting for you for 3 hours, but that's okay. It’s better late than never.
D. People in the village say that the house is haunted by the ghost of the lady that lived here many years back. So, my father decides to wait to buy it so he can take more opinions from different people.",B
10,All that glitters is not gold.,"A. Show some respect to your professor! He is a legend in his field.
B. Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. Sam is scared of speaking to strangers but she wants to build up the courage and try it out.",C
