Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,D. A fallen tree cannot provide shade.
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do."
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,B. Don’t judge people based on appearances alone; appearances can be deceptive.
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"D. You can't pour from an empty cup.

Explanation:
The target sentence and the given sentence (D) share similarities in their contrasting ideas. Both sentences present a situation where the speaker's initial impression is challenged by new information. In the target sentence, the new recruits initially worshipped Kevin as the best player, but their impression changes when they learn that his famous goal was just a fluke. Similarly, in sentence (D), the speaker cannot pour from an empty cup, which is a metaphor for the idea that one cannot give what they do not have. Both sentences use a contrasting idea to create a meaningful comparison."
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,"B. Even though it took me two weeks, I at least sent the letter."
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,"D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it."
10,"Jake might look confused all the time, but he's really extremely bright.","A. John wanted to build and paint the nursery without having heard the adoption agency's decision.
B. I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.
C. Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.
D. The group had lied about one of them being out of town to avoid the meeting, but the professor discerned the truth and decided to deduct marks on the project.",C,"D. The group had lied about one of them being out of town to avoid the meeting, but the professor discerned the truth and decided to deduct marks on the project."
