Index,Sentence,Options,CorrectIndex,Label
0,All that glitters is not gold.,"11,176,158,287",11,A
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"10,165,319,157",10,A
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","173,6,23,26",6,B
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"170,101,11,151",11,C
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"9,60,200,286",9,A
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"196,9,26,55",9,B
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"7,131,43,105",7,A
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","1,92,35,245",1,A
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","303,240,226,4",4,D
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","144,271,6,120",6,C
10,"Jake might look confused all the time, but he's really extremely bright.","338,124,12,242",12,C
11,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","254,224,16,48",16,C
12,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","70,68,15,81",15,C
13,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"213,41,153,2",2,D
14,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"64,10,265,53",10,B
15,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"273,138,10,203",10,C
16,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","4,293,219,35",4,A
17,She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.,"14,68,56,212",14,A
18,After letting off his rage he sat down like a lamb.,"76,139,25,144",25,C
19,The weather finally became pleasant following the stormy week.,"21,152,9,40",21,A
20,Having cried the entire night she greeted everyone in the morning like sunshine.,"162,172,31,248",31,C
21,A soft breeze blew after the gust of wind shook down the shacks.,"285,295,64,31",31,D
22,"As the flame extinguished, it left behind a thin wisp of smoke.","225,206,186,25",25,D
23,He danced off his sugar high then promptly fell asleep.,"31,141,272,273",31,A
24,My pet dog is down for the count after playing the whole day with the frisbee.,"179,25,129,40",25,B
25,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"219,159,67,23",23,D
26,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","28,69,34,79",28,A
27,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","325,305,26,201",26,C
28,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","170,173,31,278",31,C
29,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"241,23,203,58",23,B
30,After working two years for the company she was burned out.,"248,24,43,92",24,B
31,He collapsed after he ran for the marathon.,"309,28,150,213",28,B
32,"You may not like your job, but don't quit merely on the hope of finding a better one.","65,178,42,128",42,C
33,"He left his partner to find true love, only to realize that he already had it before.","254,38,127,173",38,B
34,Better to buy the sweets we are accustomed to than to try the new ones that might taste better.,"68,186,40,90",40,C
35,I would rather use my old pan for cooking than buy the new utensil with fancy features.,"5,122,40,338",40,C
36,Let's make-do with the cold and build a fire instead of waiting for the weather to warm up.,"223,332,94,32",32,D
37,"Even if rain is on the forecast, keep watering your garden.","88,331,98,42",42,D
38,"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.","305,131,325,34",34,D
39,"To avoid burning your hands, use oven mitts when removing the cake, as it will be hot unlike how it is now.","40,135,209,322",40,A
40,"It is not that cold today, but I'd still go by car since I can't afford to get sick.","42,265,79,20",42,A
41,"Don't be greedy, just take whatever they offer you as if you negotiate too much they might take the offer back.","36,320,262,325",36,A
